| 8  | 0 and 1778291 | 4498.701281 |
| 16  | 0 and 1898665 | 8426.973689 |
| 32  | 0 and 1217914 | 26274.433170 |
| 64  | 0 and 1261113 | 50748.822667 |
| 128  | 0 and 1298366 | 98585.452792 |
| 256  | 0 and 1278548 | 200227.132654 |
| 512  | 0 and 1508867 | 339327.455634 |
| 1024  | 0 and 1236803 | 827941.070647 |
| 2048  | 0 and 1390307 | 1473055.950952 |
| 4096  | 0 and 1265611 | 3236381.478985 |
| 8192  | 0 and 1217089 | 6730814.262556 |
| 16384  | 0 and 1925366 | 8509550.911359 |
| 32768  | 0 and 2618153 | 12515693.315097 |
| 65536  | 0 and 4042993 | 16209773.304084 |
| 131072  | 0 and 7042773 | 18610851.151954 |
| 262144  | 0 and 15979498 | 16405020.983763 |
| 524288  | 0 and 27360344 | 19162332.169508 |
| 1048576  | 0 and 44308829 | 23665170.659328 |
| 2097152  | 0 and 94605022 | 22167448.996524 |
| 4194304  | 0 and 223952416 | 18728549.907673 |
| 8388608  | 0 and 338308981 | 24795699.999463 |
| 16777216  | 0 and 682538431 | 24580617.351347 |
| 33554432  | 1 and 331489283 | 25200677.488292 |
| 67108864  | 3 and 480916704 | 19279077.813865 |
| 134217728  | 5 and 873643062 | 22850848.542080 |
| 268435456  | 11 and 6255887 | 24389352.633266 |
| 536870912  | 23 and 301688413 | 23040000.470544 |
| 1073741824  | 52 and 646064354 | 20395481.356023 |
